time,open,high,low,close
1674194400,20983,20994,20934,20944
1674198000,20944,20998,20869,20970
1674201600,20968,20985,20911,20948
1674205200,20948,20991,20916,20962
1674208800,20962,20967,20920,20965
1674212400,20965,20985,20942,20965
1674216000,20964,21123,20962,21097
1674219600,21096,21143,21047,21060
1674223200,21060,21161,21023,21152
1674226800,21151,21242,21114,21144
1674230400,21150,21416,21148,21304
1674234000,21323,21409,21288,21361
1674237600,21370,21435,21300,21391
1674241200,21396,21530,21366,21505
1674244800,21528,22375,21518,22279
1674248400,22287,22429,22218,22320
1674252000,22322,22721,22322,22593
1674255600,22600,22750,22589,22678
1674259200,22670,22790,22442,22582
1674262800,22578,22620,22557,22567
1674266400,22567,22629,22522,22554
1674270000,22566,22575,22504,22554
1674273600,22558,22645,22524,22605
1674277200,22604,22623,22525,22577
1674280800,22575,22625,22564,22624
1674284400,22623,22675,22613,22647
1674288000,22647,22782,22636,22712
1674291600,22711,23101,22692,23031
1674295200,23032,23333,22631,22787
1674298800,22778,22952,22667,22910
1674302400,22913,23073,22897,23050
1674306000,23050,23054,22868,22934
1674309600,22941,23022,22889,22969
1674313200,22972,23285,22952,22997
1674316800,23018,23269,22998,23205
1674320400,23200,23362,23145,23238
1674324000,23237,23268,23076,23253
1674327600,23266,23310,23190,23289
1674331200,23285,23307,23095,23109
1674334800,23101,23221,23054,23200
1674338400,23203,23208,22780,22780
1674342000,22780,22969,22713,22783
1674345600,22791,22965,22717,22881
1674349200,22879,22890,22702,22803
1674352800,22797,22836,22615,22711
1674356400,22712,22776,22678,22766
1674360000,22763,22866,22726,22854
1674363600,22856,22894,22846,22882
1674367200,22881,22968,22869,22926
1674370800,22927,22964,22892,22901
1674374400,22900,22926,22821,22900
1674378000,22916,22936,22839,22862
1674381600,22860,22900,22842,22878
1674385200,22881,22882,22741,22782
1674388800,22787,22868,22711,22863
1674392400,22869,22927,22855,22909
1674396000,22903,23034,22876,23002
1674399600,23006,23076,22650,22787
1674403200,22803,22860,22702,22815
1674406800,22824,22959,22786,22928
1674410400,22936,22939,22828,22838
1674414000,22828,22859,22700,22726
1674417600,22737,22737,22314,22460
1674421200,22467,22640,22327,22599
1674424800,22592,22694,22546,22687
1674428400,22675,22775,22655,22717
1674432000,22708,22809,22670,22751
1674435600,22757,22821,22700,22701
1674439200,22711,22757,22699,22755
1674442800,22755,22772,22662,22675
1674446400,22671,22760,22671,22759
1674450000,22765,22772,22715,22727
1674453600,22730,22796,22698,22779
1674457200,22781,22787,22618,22700
1674460800,22705,22766,22675,22725
1674464400,22725,22787,22711,22787
1674468000,22787,22959,22773,22913
1674471600,22924,22931,22834,22909
1674475200,22911,22974,22817,22912
1674478800,22921,22944,22685,22803
1674482400,22798,23117,22525,22623
1674486000,22637,22919,22608,22862
1674489600,22876,22932,22777,22910
1674493200,22917,23059,22857,23059
1674496800,23069,23167,22880,22950
1674500400,22935,22964,22662,22789
1674504000,22785,23031,22767,23029
1674507600,23029,23041,22947,23001
1674511200,23000,23031,22866,22926
1674514800,22925,22960,22877,22922
1674518400,22922,23004,22876,22991
1674522000,22991,23103,22935,23094
1674525600,23100,23143,23047,23047
1674529200,23054,23086,23012,23084
1674532800,23087,23126,23074,23076
1674536400,23079,23162,23033,23125
1674540000,23125,23160,23070,23103
1674543600,23103,23131,23025,23055
1674547200,23058,23094,23044,23053
1674550800,23054,23061,22782,22857
1674554400,22859,22948,22856,22913
1674558000,22912,22937,22872,22922
1674561600,22923,23031,22892,22973
1674565200,22973,23018,22795,22865
1674568800,22865,22958,22723,22866
1674572400,22859,22956,22765,22928
1674576000,22938,22949,22849,22876
1674579600,22876,22924,22784,22914
1674583200,22913,23042,22882,23003
1674586800,23003,23068,22968,23026
1674590400,23027,23042,22889,23022
1674594000,23018,23082,22833,22902
1674597600,22902,22927,22686,22763
1674601200,22735,22783,22473,22637
1674604800,22636,22710,22507,22660
1674608400,22650,22665,22334,22497
1674612000,22490,22591,22490,22552
1674615600,22548,22653,22540,22651
1674619200,22652,22661,22630,22631
1674622800,22633,22730,22615,22676
1674626400,22680,22738,22643,22718
1674630000,22717,22768,22705,22726
1674633600,22719,22740,22665,22671
1674637200,22667,22703,22583,22617
1674640800,22618,22632,22488,22622
1674644400,22620,22627,22568,22601
1674648000,22601,22741,22599,22693
1674651600,22701,22729,22577,22603
1674655200,22602,22621,22430,22442
1674658800,22433,22602,22348,22582
1674662400,22581,22691,22525,22633
1674666000,22637,22657,22522,22583
1674669600,22576,22734,22565,22732
1674673200,22735,22762,22664,22758
1674676800,22761,22950,22761,22938
1674680400,22950,23709,22846,23604
1674684000,23624,23815,22864,22955
1674687600,22942,23212,22895,23054
1674691200,23063,23282,23063,23243
1674694800,23251,23251,23146,23156
1674698400,23169,23265,23149,23190
1674702000,23186,23232,23118,23134
1674705600,23143,23195,23116,23194
1674709200,23185,23196,23135,23152
1674712800,23155,23166,22946,23090
1674716400,23090,23093,22963,22982
1674720000,22971,23050,22932,23005
1674723600,23003,23036,22917,22974
1674727200,22964,23004,22869,22930
1674730800,22935,23000,22904,22999
1674734400,22999,23141,22970,23133
1674738000,23133,23154,22905,23124
1674741600,23132,23243,22931,23028
1674745200,23009,23181,22905,22961
1674748800,22953,23025,22866,23003
1674752400,23002,23057,22965,22983
1674756000,22983,23104,22967,23042
1674759600,23041,23091,22986,23077
1674763200,23075,23168,23046,23115
1674766800,23122,23122,22972,23076
1674770400,23081,23141,22994,23000
1674774000,22995,23036,22971,23010
1674777600,23011,23076,22908,22929
1674781200,22924,22968,22541,22649
1674784800,22646,22817,22620,22791
1674788400,22795,22845,22775,22776
1674792000,22776,22858,22772,22811
1674795600,22819,23099,22813,23029
1674799200,23043,23060,22980,23009
1674802800,23010,23087,22946,23083
1674806400,23081,23090,22941,22965
1674810000,22973,22986,22920,22956
1674813600,22956,22994,22916,22951
1674817200,22951,22977,22926,22972
1674820800,22974,22994,22883,22936
1674824400,22935,23021,22872,22904
1674828000,22908,23053,22845,22971
1674831600,22980,23148,22937,22937
1674835200,22937,23143,22932,23139
1674838800,23139,23242,23091,23216
1674842400,23217,23250,23144,23191
1674846000,23189,23289,23168,23262
1674849600,23263,23500,23028,23116
1674853200,23125,23198,23066,23092
1674856800,23089,23104,22973,23016
1674860400,23016,23090,23016,23083
1674864000,23082,23187,23053,23161
1674867600,23160,23176,23079,23098
1674871200,23098,23133,23078,23096
1674874800,23095,23146,23089,23121
1674878400,23122,23138,23091,23100
1674882000,23100,23115,23039,23073
1674885600,23074,23086,23024,23047
1674889200,23048,23049,22966,22999
1674892800,22993,23021,22963,22983
1674896400,22987,23024,22920,23001
1674900000,23008,23014,22965,22983
1674903600,22982,23001,22951,22986
1674907200,22989,22990,22930,22958
1674910800,22961,22977,22894,22977
1674914400,22976,22988,22960,22961
1674918000,22960,23043,22948,23021
1674921600,23024,23051,23017,23029
1674925200,23029,23032,22989,23025
1674928800,23025,23029,22992,23004
1674932400,23004,23050,23002,23047
